name,epochs,temperature,alpha,gamma,objective
heur056_n_300_m_12131,100,1000.0,0.92,0.9,13613
heur056_n_300_m_12131,100,1000.0,0.95,0.7,13613
heur056_n_300_m_12131,100,1000.0,0.95,0.9,13414
heur056_n_300_m_12131,100,10000.0,0.92,0.7,13613
heur056_n_300_m_12131,100,10000.0,0.92,0.9,13473
heur056_n_300_m_12131,100,10000.0,0.95,0.7,13613
heur056_n_300_m_12131,100,10000.0,0.95,0.9,13613
heur057_n_300_m_2109,100,100.0,0.92,0.7,3201
heur057_n_300_m_2109,100,100.0,0.92,0.9,3198
heur057_n_300_m_2109,100,100.0,0.95,0.7,3200
heur057_n_300_m_2109,100,100.0,0.95,0.9,3200
heur057_n_300_m_2109,100,1000.0,0.92,0.7,3201
heur057_n_300_m_2109,100,1000.0,0.92,0.9,3201
heur057_n_300_m_2109,100,1000.0,0.95,0.7,3201
heur057_n_300_m_2109,100,1000.0,0.95,0.9,3197
heur057_n_300_m_2109,100,10000.0,0.92,0.7,3201
heur057_n_300_m_2109,100,10000.0,0.92,0.9,3201
heur057_n_300_m_2109,100,10000.0,0.95,0.7,3200
heur057_n_300_m_2109,100,10000.0,0.95,0.9,3201
heur058_n_300_m_4010,100,100.0,0.92,0.7,5993
heur058_n_300_m_4010,100,100.0,0.92,0.9,6022
heur058_n_300_m_4010,100,100.0,0.95,0.7,5989
heur058_n_300_m_4010,100,100.0,0.95,0.9,6022
heur058_n_300_m_4010,100,1000.0,0.92,0.7,6022
heur058_n_300_m_4010,100,1000.0,0.92,0.9,6022
heur058_n_300_m_4010,100,1000.0,0.95,0.7,6022
heur058_n_300_m_4010,100,1000.0,0.95,0.9,6022
heur058_n_300_m_4010,100,10000.0,0.92,0.7,6022
heur058_n_300_m_4010,100,10000.0,0.92,0.9,6022
heur058_n_300_m_4010,100,10000.0,0.95,0.7,6022
heur058_n_300_m_4010,100,10000.0,0.95,0.9,5905
heur059_n_300_m_7867,100,100.0,0.92,0.7,13260
